Col,Row,Blk,Plot,Name,Stems,IBAP13,IBA13,DBH13eq,MAIBA13,BAtot13,DBH 13,DBH 13a,DBH 13b,DBH 13c,DBH 13d,DBH 13e,Canker,Ht12 (ft),Ht12a (ft),Ht12b (ft),Ht12c (ft),Ht12d (ft),IBAP12,IBA12,DBH12eq,MAIBA12,BAtot12,DBH 12,DBH 12a,DBH 12b,DBH 12c,DBH 12d,DBH 12e,Canker,IBAP11,IBA11,DBH11eq,MAIBA11,BAtot11,DBH 11,DBH11a,DBH 11b,DBH 11c,DBH 11d,DBH 11e,IBAP10,IBA10,DBH10eq,MAIBA10,BAtot10,DBH 10,DBH 10a,DBH 10b,DBH 10c,DBH 10d,DBH 10e,BLD or Rust 10,Canker 10,IBAP09,IBA09,DBH09eq,MAIBA09,BAtot09,DBH 09,DBH 09a,DBH 09b,DBH 09c,DBH 09d,DBH 09e,IBAP08,IBA08,DBH08eq,MAIBA08,BAtot08,DBH 08,DBH 08a,DBH 08b,DBH 08c,DBH 08d,DBH 08e,Ht 08,DBH07eq,MAIBA07,BAtot07,DBH 07,DBH 07a,DBH 07b,DBH 07c,DBH 07d,DBH 07e,"Leaf
Spot08 4yr","Leaf
Rust08 4yr",Canker08 4yr
1,1,1,1,17XGA04,1,25%,0.035,5.6,0.019,0.171,5.6,,,,,,0,32.6,,,,,,,5,0.017,0.136,5,,,,,,0,,,0,NA,NA,,,,,,,8%,0.003,2.8,0.007,0.043,2.8,,,,,,3,0,38%,0.011,2.7,0.008,0.04,2.7,,,,,,107%,0.015,2.3,0.007,0.029,2.3,,,,,,16.5,1.6,0.005,0.014,1.6,,,,,,0,1,0
1,2,1,1,17XGA04,1,40%,0.016,3.2,0.006,0.056,3.2,,,,,,0,27.2,,,,,,,2.7,0.005,0.04,2.7,,,,,,0,,,0,NA,NA,,,,,,,38%,0.006,2,0.004,0.022,2,,,,,,3,0,71%,0.007,1.7,0.003,0.016,1.7,,,,,,245%,0.007,1.3,0.002,0.009,1.3,,,,,,13.5,0.7,0.001,0.003,0.7,,,,,,0,1,0
1,3,1,1,17XGA04,2,25%,0.069,8,0.039,0.348,5.5,5.8,,,,,0,39.3,38.3,,,,,,7.2,0.035,0.28,5.4,4.7,,,,,0,,,0,NA,NA,,,,,,,56%,0.041,4.6,0.019,0.115,3.3,3.2,,,,,3,0,59%,0.027,3.7,0.015,0.074,2.7,2.5,,,,,194%,0.031,2.9,0.012,0.047,2.3,1.8,,,,,19.5,1.7,0.005,0.016,1.3,1.1,,,,,0,1,0
1,4,1,1,17XGA04,2,39%,0.024,4,0.009,0.085,3.8,1.1,,,,,0,35.3,,,,,,,3.4,0.008,0.061,3.2,1,,,,,0,,,0,NA,NA,,,,,,,59%,0.015,2.7,0.007,0.04,2.6,0.8,,,,,3,0,52%,0.009,2.2,0.005,0.025,2,0.8,,,,,80%,0.007,1.7,0.004,0.017,1.6,0.7,,,,,14,1.3,0.003,0.009,1.2,0.5,,,,,0,0,0
1,5,1,2,82XAA04,1,15%,0.024,5.8,0.02,0.183,5.8,,,,,,0,39.5,,,,,,,5.4,0.02,0.159,5.4,,,,,,0,,,0,NA,NA,,,,,,,52%,0.026,3.7,0.012,0.075,3.7,,,,,,2,0,44%,0.015,3,0.01,0.049,3,,,,,,144%,0.02,2.5,0.009,0.034,2.5,,,,,,20,1.6,0.005,0.014,1.6,,,,,,0,1,0
1,6,1,2,82XAA04,1,42%,0.04,5,0.015,0.136,5,,,,,,0,36,,,,,,,4.2,0.012,0.096,4.2,,,,,,0,,,0,NA,NA,,,,,,,56%,0.018,3,0.008,0.049,3,,,,,,2,0,78%,0.014,2.4,0.006,0.031,2.4,,,,,,224%,0.012,1.8,0.004,0.018,1.8,,,,,,16.5,1,0.002,0.005,1,,,,,,0,1,0
1,7,1,2,82XAA04,3,34%,0.105,8.7,0.046,0.41,6.9,4.5,2.7,,,,0,38.8,37,,,,,,7.5,0.038,0.305,5.8,4,2.5,,,,0,,,0,NA,NA,,,,,,,67%,0.075,5.8,0.031,0.186,4.7,2.6,2.3,,,,2,0,58%,0.041,4.5,0.022,0.111,3.2,2.4,2.1,,,,127%,0.039,3.6,0.018,0.07,2.6,1.7,1.8,,,,22,2.4,0.01,0.031,1.6,1.3,1.2,,,,0,1,0
1,8,1,2,82XAA04,0,,,0,NA,NA,,,,,,,0,,,,,,,,0,NA,NA,,,,,,,0,,,0,NA,NA,,,,,,,0%,0,1.3,0.002,0.009,1.3,,,,,,5,0,0%,0,1.3,0.002,0.009,1.3,,,,,,109%,0.005,1.3,0.002,0.009,1.3,,,,,,13.5,0.9,0.001,0.004,0.9,,,,,,0,2,0
1,9,4,3,2XT4E04,0,,,0,NA,NA,,,,,,,0,,,,,,,,0,NA,NA,,,,,,,0,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,0,NA,NA,,,,,,,,,
1,10,4,3,2XT4E04,0,,,0,NA,NA,,,,,,,0,,,,,,,,0,NA,NA,,,,,,,0,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,0,NA,NA,,,,,,,,,
1,11,4,3,2XT4E04,0,,,0,NA,NA,,,,,,,0,,,,,,,,0,NA,NA,,,,,,,0,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,0,NA,NA,,,,,,,,,
1,12,4,3,2XT4E04,0,,,0,NA,NA,,,,,,,0,,,,,,,,0,NA,NA,,,,,,,0,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,0,NA,NA,,,,,,,,,
1,13,4,4,83XAA04,4,34%,0.105,8.7,0.046,0.414,6.5,4.4,3.5,1.4,,,0,38.1,34.7,29.9,,,24%,0.06,7.5,0.039,0.309,5.8,3.5,3,1.3,,,0,26%,0.051,6.8,0.036,0.249,5.2,3.1,3,,,,42%,0.058,6,0.033,0.197,4.6,2.8,2.4,1.2,,,3,0,49%,0.046,5.1,0.028,0.139,3.7,2.2,2.1,1.2,0.8,0.7,92%,0.045,4.1,0.023,0.093,3.2,1.6,1.5,1.1,0.7,0.6,22,3,0.016,0.049,2.4,1.1,0.9,0.8,0.5,0.5,0,1,0
1,14,4,4,83XAA04,3,32%,0.127,9.8,0.058,0.52,8,5.3,1.8,,,,0,44.2,39.4,,,,21%,0.069,8.5,0.049,0.393,6.9,4.6,1.8,,,,0,45%,0.101,7.7,0.046,0.324,6.2,4.2,1.8,,,,48%,0.073,6.4,0.037,0.223,5.2,3.3,1.7,,,,2,0,66%,0.059,5.2,0.03,0.15,4.2,2.7,1.6,,,,103%,0.046,4.1,0.023,0.091,3.4,1.9,1.2,,,,23,2.9,0.015,0.045,2.3,1.5,0.8,,,,0,1,0
1,15,4,4,83XAA04,3,21%,0.083,9.4,0.053,0.478,5.6,5.5,5.1,,,,0,40.5,38.5,34.7,,,21%,0.067,8.5,0.049,0.395,5.3,4.9,4.5,,,,0,37%,0.089,7.7,0.047,0.327,4.7,4.5,4.2,,,,30%,0.055,6.6,0.04,0.238,4.3,3.5,3.6,,,,2,0,38%,0.05,5.8,0.037,0.183,3.7,3.2,3.1,,,,147%,0.079,4.9,0.033,0.133,3.1,3,2.4,,,,21,3.1,0.018,0.054,2,1.9,1.5,,,,0,1,1
1,16,4,4,83XAA04,2,26%,0.09,8.9,0.048,0.432,7.9,4.1,,,,,0,42.9,35.9,,,,32%,0.083,7.9,0.043,0.342,7.1,3.5,,,,,0,36%,0.069,6.9,0.037,0.259,6.1,3.2,,,,,55%,0.067,5.9,0.032,0.19,5.3,2.6,,,,,1,0,84%,0.056,4.7,0.025,0.123,4.2,2.2,,,,,142%,0.039,3.5,0.017,0.067,3.2,1.4,,,,,23,2.2,0.009,0.028,2.1,0.8,,,,,0,1,0
1,17,5,5,81XAA04,2,20%,0.036,6.3,0.024,0.215,5.8,2.4,,,,,0,36.8,28.7,,,,,,5.7,0.022,0.179,5.2,2.4,,,,,0,,,0,NA,NA,,,,,,,35%,0.029,4.6,0.019,0.114,4,2.2,,,,,1,0,40%,0.024,3.9,0.017,0.084,3.5,1.8,,,,,83%,0.027,3.3,0.015,0.06,2.8,1.8,,,,,21,2.5,0.011,0.033,2.2,1.1,,,,,0,1,0
1,18,5,5,81XAA04,2,26%,0.096,9.3,0.052,0.472,7.5,5.5,,,,,0,37.3,37.3,,,,,,8.3,0.047,0.376,6.7,4.9,,,,,0,,,0,NA,NA,,,,,,,47%,0.067,6.2,0.035,0.211,5.2,3.4,,,,,1,0,42%,0.043,5.1,0.029,0.144,4.3,2.8,,,,,66%,0.04,4.3,0.025,0.101,3.5,2.5,,,,,23,3.3,0.02,0.061,2.6,2.1,,,,,0,1,0
1,19,5,5,81XAA04,3,24%,0.065,7.9,0.037,0.337,6.7,3.4,2.3,,,,0,35,25.2,21.7,,,,,7.1,0.034,0.272,5.9,3.2,2.2,,,,0,,,0,NA,NA,,,,,,,47%,0.055,5.6,0.029,0.174,4.5,2.6,2.2,,,,1,0,44%,0.036,4.7,0.024,0.118,3.7,2,2,,,,83%,0.037,3.9,0.021,0.082,3.2,1.7,1.4,,,,23,2.9,0.015,0.045,2.4,1.3,0.9,,,,0,1,0
1,20,5,5,81XAA04,1,17%,0.013,4,0.01,0.087,4,,,,,,0,26,,,,,,,3.7,0.009,0.075,3.7,,,,,,0,,,0,NA,NA,,,,,,,36%,0.011,2.8,0.007,0.043,2.8,,,,,,3,0,0%,0,2.4,0.006,0.031,2.4,,,,,,78%,0.014,2.4,0.008,0.031,2.4,,,,,,16,1.8,0.006,0.018,1.8,,,,,,0,1,0
2,1,1,10,80XAA04,1,28%,0.106,9.4,0.054,0.482,9.4,,,,,,0,44.7,,,,,16%,0.052,8.3,0.047,0.376,8.3,,,,,,0,45%,0.1,7.7,0.046,0.323,7.7,,,,,,46%,0.07,6.4,0.037,0.223,6.4,,,,,,1,0,76%,0.066,5.3,0.031,0.153,5.3,,,,,,56%,0.031,4,0.022,0.087,4,,,,,,23.9,3.2,0.019,0.056,3.2,,,,,,0,1,0
2,2,1,10,80XAA04,1,28%,0.056,6.8,0.028,0.252,6.8,,,,,,0,38.2,,,,,38%,0.054,6,0.025,0.196,6,,,,,,0,47%,0.046,5.1,0.02,0.142,5.1,,,,,,62%,0.037,4.2,0.016,0.096,4.2,,,,,,1,0,74%,0.025,3.3,0.012,0.059,3.3,,,,,,93%,0.016,2.5,0.009,0.034,2.5,,,,,,18.1,1.8,0.006,0.018,1.8,,,,,,0,1,0
2,3,1,10,80XAA04,1,26%,0.046,6.4,0.025,0.223,6.4,,,,,,0,38.9,,,,,20%,0.03,5.7,0.022,0.177,5.7,,,,,,0,46%,0.047,5.2,0.021,0.147,5.2,,,,,,60%,0.038,4.3,0.017,0.101,4.3,,,,,,1,0,59%,0.023,3.4,0.013,0.063,3.4,,,,,,102%,0.02,2.7,0.01,0.04,2.7,,,,,,21,1.9,0.007,0.02,1.9,,,,,,0,1,0
2,4,1,10,80XAA04,1,15%,0.006,3,0.005,0.049,3,,,,,,0,32.8,,,,,16%,0.006,2.8,0.005,0.043,2.8,,,,,,0,40%,0.01,2.6,0.005,0.037,2.6,,,,,,10%,0.002,2.2,0.004,0.026,2.2,,,,,,2,0,53%,0.008,2.1,0.005,0.024,2.1,,,,,,101%,0.008,1.7,0.004,0.016,1.7,,,,,,15.5,1.2,0.003,0.008,1.2,,,,,,0,1,0
2,5,1,9,84XAA04,4,28%,0.076,8,0.039,0.347,4.4,4.5,4.7,1.4,,,0,45.6,42.5,42.5,,,,,7.1,0.034,0.271,4.1,4,3.9,1.3,,,0,,,0,NA,NA,,,,,,,66%,0.069,5.6,0.029,0.172,3.3,3.1,3.1,1.2,,,2,0,59%,0.038,4.4,0.021,0.104,2.5,2.4,2.4,1.1,,,109%,0.034,3.5,0.016,0.065,2.2,1.8,1.8,0.7,0.4,,19.4,2.4,0.01,0.031,1.5,1.3,1.2,0.5,0.3,,0,1,0
2,6,1,9,84XAA04,1,23%,0.037,6,0.022,0.196,6,,,,,,0,39.5,,,,,,,5.4,0.02,0.159,5.4,,,,,,0,,,0,NA,NA,,,,,,,19%,0.019,4.6,0.02,0.117,4.5,1.1,,,,,2,0,41%,0.029,4.2,0.02,0.098,4.1,1.1,,,,,79%,0.031,3.6,0.017,0.07,3.4,1.1,,,,,23.3,2.7,0.013,0.039,2.6,0.6,,,,,0,1,0
2,7,1,9,84XAA04,3,16%,0.044,7.7,0.036,0.327,5.1,5,3,,,,0,34.6,33.6,33.6,,,,,7.2,0.035,0.283,5,4.3,2.9,,,,0,,,0,NA,NA,,,,,,,41%,0.052,5.8,0.03,0.181,4.1,3.1,2.6,,,,2,0,49%,0.042,4.9,0.026,0.129,3.3,2.8,2.2,,,,97%,0.042,4,0.022,0.086,2.8,2,2,,,,19.4,2.8,0.015,0.044,2.1,1.4,1.3,,,,0,1,0
2,8,1,9,84XAA04,2,28%,0.027,4.7,0.014,0.122,3.4,3.3,,,,,0,27.6,24.9,,,,,,4.2,0.012,0.096,3.2,2.7,,,,,0,,,0,NA,NA,,,,,,,49%,0.022,3.5,0.011,0.068,2.5,2.5,,,,,2,0,113%,0.024,2.9,0.009,0.046,2.1,2,,,,,172%,0.014,2,0.005,0.021,1.5,1.3,,,,,13.8,1.2,0.003,0.008,0.9,0.8,,,,,0,1,0
2,9,4,8,18XAG04,2,31%,0.026,4.4,0.012,0.107,4.2,1.4,,,,,0,33.1,,,,,,,3.9,0.01,0.081,3.6,1.4,,,,,0,,,0,NA,NA,,,,,,,43%,0.016,3.1,0.009,0.054,2.8,1.2,0.8,,,,2,0,59%,0.014,2.6,0.008,0.038,2.3,1,0.8,,,,70%,0.01,2.1,0.006,0.024,1.8,0.7,0.8,,,,14.7,1.6,0.005,0.014,1.4,0.6,0.5,,,,0,1,1
2,10,4,8,18XAG04,1,23%,0.037,6,0.022,0.196,6,,,,,,0,37.3,,,,,,,5.4,0.02,0.159,5.4,,,,,,0,,,0,NA,NA,,,,,,,54%,0.032,4.1,0.015,0.092,4.1,,,,,,2,0,49%,0.02,3.3,0.012,0.059,3.3,,,,,,102%,0.02,2.7,0.01,0.04,2.7,,,,,,20.8,1.9,0.007,0.02,1.9,,,,,,0,1,0
2,11,4,8,18XAG04,2,22%,0.066,8.2,0.041,0.367,5.7,5.9,,,,,0,46,37.3,,,,,,7.4,0.038,0.301,5.5,5,,,,,0,,,0,NA,NA,,,,,,,60%,0.061,5.5,0.027,0.162,4.1,3.6,,,,,2,0,48%,0.033,4.3,0.02,0.102,3.2,2.9,,,,,63%,0.026,3.5,0.017,0.069,2.7,2.3,,,,,22.7,2.8,0.014,0.042,2.2,1.7,,,,,0,1,0
2,12,4,8,18XAG04,2,17%,0.046,7.7,0.036,0.325,5.7,5.2,,,,,0,38.4,36.9,,,,,,7.1,0.035,0.278,5.1,5,,,,,0,,,0,NA,NA,,,,,,,55%,0.064,5.7,0.03,0.179,4.1,4,,,,,3,0,25%,0.023,4.6,0.023,0.115,3.3,3.2,,,,,89%,0.043,4.1,0.023,0.092,3,2.8,,,,,22.1,3,0.016,0.049,2.3,1.9,,,,,0,1,0
2,13,4,7,81XAA04,0,,,0,NA,NA,,,,,,,0,,,,,,,,0,NA,NA,,,,,,,0,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,0,NA,NA,,,,,,,,,
2,14,4,7,81XAA04,1,43%,0.05,5.5,0.018,0.165,5.5,,,,,,0,40,,,,,,,4.6,0.014,0.115,4.6,,,,,,0,,,0,NA,NA,,,,,,,54%,0.025,3.6,0.012,0.071,3.6,,,,,,1,0,59%,0.017,2.9,0.009,0.046,2.9,,,,,,135%,0.017,2.3,0.007,0.029,2.3,,,,,,19.9,1.5,0.004,0.012,1.5,,,,,,0,1,0
2,15,4,7,81XAA04,1,7%,0.003,2.9,0.005,0.046,2.9,,,,,,0,25.3,,,,,,,2.8,0.005,0.043,2.8,,,,,,0,,,0,NA,NA,,,,,,,20%,0.005,2.3,0.005,0.029,2.3,,,,,,1,0,72%,0.01,2.1,0.005,0.024,2.1,,,,,,156%,0.009,1.6,0.003,0.014,1.6,,,,,,14,1,0.002,0.005,1,,,,,,0,1,0
2,16,4,7,81XAA04,0,,,0,NA,NA,,,,,,,0,,,,,,,,0,NA,NA,,,,,,,0,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,0,NA,NA,,,,,,,,,
2,17,5,6,80XAA04,2,24%,0.039,6.1,0.023,0.204,4.8,3.8,,,,,0,39.1,39.1,,,,33%,0.041,5.5,0.021,0.165,4.4,3.3,,,,,0,8%,0.01,4.8,0.018,0.124,3.7,3,,,,,46%,0.036,4.6,0.019,0.114,3.7,2.6,0.7,,,,1,0,24%,0.015,3.8,0.016,0.078,3,2.2,0.7,,,,114%,0.034,3.4,0.016,0.063,2.8,1.8,0.7,,,,20,2.3,0.01,0.03,1.9,1.2,0.6,,,,0,1,0
2,18,5,6,80XAA04,1,19%,0.031,5.9,0.021,0.19,5.9,,,,,,0,36.3,,,,,27%,0.033,5.4,0.02,0.159,5.4,,,,,,0,31%,0.029,4.8,0.018,0.126,4.8,,,,,,24%,0.019,4.2,0.016,0.096,4.2,,,,,,1,0,25%,0.015,3.8,0.015,0.077,3.7,0.7,,,,,101%,0.031,3.4,0.016,0.062,3.3,0.7,,,,,20.2,2.4,0.01,0.031,2.3,0.6,,,,,0,1,0
2,19,5,6,80XAA04,5,10%,0.038,8.6,0.045,0.402,5.4,4.2,4,3,1.4,,0,38.5,34.4,30.6,28.5,,19%,0.057,8.2,0.046,0.365,4.8,4.2,3.9,3,1.4,,0,31%,0.074,7.5,0.044,0.307,4.5,3.7,3.7,2.6,1.4,,26%,0.048,6.5,0.039,0.234,3.8,3.2,3.2,2.5,1.3,,1,0,39%,0.052,5.8,0.037,0.186,3.3,3.1,2.6,2.2,1.4,,62%,0.051,5,0.033,0.134,2.8,2.8,2,1.7,1.4,,22.1,3.9,0.027,0.082,2.4,2.1,1.5,1.3,1,,0,1,0
2,20,5,6,80XAA04,1,38%,0.097,8,0.039,0.349,8,,,,,,0,37.1,,,,,17%,0.037,6.8,0.032,0.252,6.8,,,,,,0,29%,0.049,6.3,0.031,0.215,6,1.5,0.9,0.6,,,41%,0.048,5.5,0.028,0.166,5.2,1.5,0.9,0.6,,,2,0,34%,0.03,4.6,0.024,0.118,4.3,1.4,0.9,0.6,,,184%,0.057,4,0.022,0.088,3.6,1.4,0.9,0.6,,,22.4,2.4,0.01,0.031,2.2,0.7,0.5,0.3,,,0,1,0
3,1,1,11,83XAA04,4,45%,0.134,8.9,0.048,0.433,7.5,4.3,1.7,1.3,,,0,38.1,36.7,,,,4%,0.012,7.4,0.037,0.299,6.5,3.2,1.5,,,,0,32%,0.07,7.2,0.041,0.286,6.2,3.3,1.4,1.1,,,57%,0.079,6.3,0.036,0.217,5.3,2.9,1.4,1.1,,,2,0,49%,0.045,5,0.028,0.138,4.1,2.5,1.2,0.9,,,115%,0.05,4.1,0.023,0.093,3.4,1.9,1.1,0.8,,,22,2.8,0.014,0.043,2.6,0.9,0.5,0.3,,,0,1,0
3,2,1,11,83XAA04,3,8%,0.028,8.4,0.043,0.387,6.4,5.1,2,,,,0,40.4,40.4,23,,,28%,0.079,8.1,0.045,0.359,6.3,4.7,2,,,,0,43%,0.084,7.2,0.04,0.28,5.6,4,2,,,,24%,0.038,6,0.033,0.196,4.4,3.6,1.9,,,,2,0,50%,0.053,5.4,0.032,0.158,4.1,2.8,1.8,1,,,120%,0.057,4.4,0.026,0.105,3.2,2.4,1.5,1,,,22.4,3,0.016,0.048,2.3,1.7,0.7,0.3,,,0,1,0
3,3,1,11,83XAA04,2,15%,0.032,6.6,0.027,0.24,5.3,4,,,,,0,43.6,38.3,,,,22%,0.038,6.2,0.026,0.209,4.8,3.9,,,,,0,6%,0.009,5.6,0.024,0.171,4.2,3.7,,,,,48%,0.052,5.4,0.027,0.162,4,3.7,,,,,2,0,66%,0.043,4.5,0.022,0.11,3.5,2.8,,,,,97%,0.033,3.5,0.017,0.066,2.7,2.2,,,,,20.8,2.5,0.011,0.034,1.9,1.6,,,,,0,1,0
3,4,1,11,83XAA04,3,10%,0.042,9.1,0.05,0.448,7.2,5.3,1.5,,,,0,42.1,42,,,,29%,0.09,8.6,0.051,0.406,6.8,5.1,1.5,,,,0,20%,0.053,7.6,0.045,0.316,6,4.5,1.3,,,,49%,0.087,6.9,0.044,0.263,5.5,4.1,1.3,,,,2,0,64%,0.069,5.7,0.035,0.176,4.4,3.4,1.2,,,,145%,0.064,4.4,0.027,0.107,3.5,2.5,1.1,,,,23.1,2.8,0.015,0.044,2.2,1.6,0.8,,,,0,1,0
3,5,1,12,1XTE04,3,12%,0.021,6,0.022,0.194,4.5,3,2.5,,,,0,42,38,38,,,,,5.6,0.022,0.173,4.2,2.8,2.5,,,,0,,,0,NA,NA,,,,,,,70%,0.05,4.7,0.02,0.121,3.1,3,1.9,,,,2,0,52%,0.024,3.6,0.014,0.071,2.7,1.8,1.6,,,,131%,0.027,2.9,0.012,0.047,2.4,1.2,1.2,,,,21.6,1.9,0.007,0.02,1.7,0.7,0.6,,,,0,0,0
3,6,1,12,1XTE04,1,0%,0,3.3,0.007,0.059,3.3,,,,,,0,31.2,,,,,,,3.3,0.007,0.059,3.3,,,,,,0,,,0,NA,NA,,,,,,,0%,0,2.6,0.006,0.037,2.6,,,,,,2,0,109%,0.019,2.6,0.007,0.037,2.4,1,,,,,168%,0.011,1.8,0.004,0.018,1.8,,,,,,18.2,1.1,0.002,0.007,1.1,,,,,,0,0,0
3,7,1,12,1XTE04,2,7%,0.009,5,0.015,0.136,4,3,,,,,0,40.1,36.5,,,,,,4.8,0.016,0.128,3.8,3,,,,,0,,,0,NA,NA,,,,,,,53%,0.025,3.6,0.012,0.071,2.7,2.4,,,,,2,0,64%,0.018,2.9,0.009,0.047,2.3,1.8,,,,,282%,0.021,2.3,0.007,0.028,1.8,1.4,,,,,18.2,1.2,0.002,0.007,1,0.6,,,,,0,0,0
3,8,1,12,1XTE04,2,0%,0,5.8,0.02,0.184,4.4,3.8,,,,,0,39.9,37.8,,,,,,5.8,0.023,0.184,4.4,3.8,,,,,0,,,0,NA,NA,,,,,,,54%,0.031,4,0.015,0.089,3,2.7,,,,,2,0,72%,0.024,3.3,0.012,0.058,2.4,2.2,,,,,243%,0.024,2.5,0.008,0.034,1.9,1.6,,,,,18.6,1.3,0.003,0.01,1.2,0.6,,,,,0,0,0
3,9,4,13,80XAA04,3,12%,0.049,9.2,0.051,0.457,8.1,3.6,2.3,,,,0,41.5,39.2,26.6,,,20%,0.067,8.6,0.051,0.408,7.7,2.3,3.2,,,,0,35%,0.089,7.9,0.049,0.341,7,3,2,0.7,,,60%,0.095,6.8,0.042,0.252,6.1,1.8,2.3,0.7,,,2,0,61%,0.06,5.4,0.031,0.157,4.8,1.7,1.6,0.6,,,112%,0.052,4.2,0.024,0.098,3.8,1.3,1.2,0.6,,,22.7,2.9,0.015,0.046,2.7,0.8,0.7,0.2,,,0,1,0
3,10,4,13,80XAA04,1,13%,0.016,4.9,0.015,0.131,4.9,,,,,,0,37.4,,,,,0%,0,4.6,0.014,0.115,4.6,,,,,,0,55%,0.041,4.6,0.016,0.115,4.6,,,,,,42%,0.022,3.7,0.012,0.075,3.7,,,,,,3,0,42%,0.016,3.1,0.01,0.052,3.1,,,,,,87%,0.017,2.6,0.009,0.037,2.6,,,,,,19,1.9,0.007,0.02,1.9,,,,,,0,1,0
3,11,4,13,80XAA04,0,,,0,NA,NA,,,,,,,0,,,,,,,,0,NA,NA,,,,,,,0,0%,0,2.5,0.005,0.034,1.9,1.6,,,,,6%,0.002,2.5,0.006,0.034,1.9,1.6,,,,,3,0,13%,0.004,2.4,0.006,0.032,1.8,1.6,,,,,93%,0.013,2.3,0.007,0.028,1.6,1.6,,,,,16.7,1.6,0.005,0.014,1.2,1.1,,,,,0,1,0
