ord,Col,Row,Blk,Plot,id,"Clone
1305,4,9,4,18,6,85XAA04,1,1.3,0.009,1.3,,,,,,2008,,0
1306,4,10,4,18,6,85XAA04,2,1.7,0.015,1.5,0.7,,,,,2008,,0
1307,4,11,4,18,6,85XAA04,1,0.4,0.001,0.4,,,,,,2008,,0
1308,4,12,4,18,6,85XAA04,1,0.6,0.002,0.6,,,,,,2008,,0
1309,5,17,5,25,6,85XAA04,1,0.5,0.001,0.5,,,,,,2008,,0
1310,5,18,5,25,6,85XAA04,1,1.9,0.020,1.9,,,,,,2008,,0
1311,5,19,5,25,6,85XAA04,1,1.1,0.007,1.1,,,,,,2008,,0
1312,5,20,5,25,6,85XAA04,1,0.4,0.001,0.4,,,,,,2008,,0
1313,9,1,2,41,6,85XAA04,1,0.7,0.003,0.7,,,,,,2008,,0
1314,9,2,2,41,6,85XAA04,1,1.5,0.012,1.5,,,,,,2008,,0
1315,9,3,2,41,6,85XAA04,1,0.2,0.000,0.2,,,,,,2008,,0
1316,9,4,2,41,6,85XAA04,NA,0.0,0.000,,,,,,,2008,,0
1317,10,13,3,47,6,85XAA04,1,1.0,0.005,1.0,,,,,,2008,,0
1318,10,14,3,47,6,85XAA04,NA,0.0,0.000,,,,,,,2008,,0
1319,10,15,3,47,6,85XAA04,1,0.7,0.003,0.7,,,,,,2008,,0
1320,10,16,3,47,6,85XAA04,1,1.0,0.005,1.0,,,,,,2008,,0
1321,11,1,1,51,6,NM6,2,2.7,0.040,2.3,1.4,,,,,2008,,0
1322,11,2,1,51,6,NM6,1,3.4,0.063,3.4,,,,,,2008,,0
1323,11,3,1,51,6,NM6,1,2.6,0.037,2.6,,,,,,2008,,0
1324,11,4,1,51,6,NM6,1,2.6,0.037,2.6,,,,,,2008,,0
1325,11,5,2,52,6,NM6,1,3.0,0.049,3.0,,,,,,2008,,1
1326,11,6,2,52,6,NM6,1,3.0,0.049,3.0,,,,,,2008,,0
1327,11,7,2,52,6,NM6,1,3.4,0.063,3.4,,,,,,2008,,0
1328,11,8,2,52,6,NM6,2,4.8,0.126,4.1,2.5,,,,,2008,,0
1329,11,9,3,53,6,NM6,NA,0.0,0.000,,,,,,,2008,,0
1330,11,10,3,53,6,NM6,2,3.3,0.060,2.5,2.2,,,,,2008,,0
1331,11,11,3,53,6,NM6,1,3.4,0.063,3.4,,,,,,2008,,0
1332,11,12,3,53,6,NM6,1,3.5,0.067,3.5,,,,,,2008,,0
1333,11,13,4,54,6,NM6,1,1.5,0.012,1.5,,,,,,2008,,0
1334,11,14,4,54,6,NM6,1,0.8,0.003,0.8,,,,,,2008,,0
1335,11,15,4,54,6,NM6,1,2.1,0.024,2.1,,,,,,2008,,0
1336,11,16,4,54,6,NM6,1,2.4,0.031,2.4,,,,,,2008,,0
1337,11,17,5,55,6,NM6,1,3.5,0.067,3.5,,,,,,2008,,0
1338,11,18,5,55,6,NM6,1,3.2,0.056,3.2,,,,,,2008,,1
1339,11,19,5,55,6,NM6,1,2.7,0.040,2.7,,,,,,2008,,1
1340,11,20,5,55,6,NM6,1,1.9,0.020,1.9,,,,,,2008,,0
1341,12,17,6,56,6,NM6,2,1.5,0.013,1.5,0.3,,,,,2008,,0
1342,12,18,6,56,6,NM6,4,3.1,0.054,2.3,1.8,0.8,0.8,,,2008,,1
1343,12,19,6,56,6,NM6,1,3.4,0.063,3.4,,,,,,2008,,0
1344,12,20,6,56,6,NM6,2,2.7,0.041,2.4,1.3,,,,,2008,,1
1345,1,1,1,1,7,17XGA04,1,1.6,0.014,1.6,,,,,,2007,,
1346,1,2,1,1,7,17XGA04,1,0.7,0.003,0.7,,,,,,2007,,
1347,1,3,1,1,7,17XGA04,2,1.7,0.016,1.3,1.1,,,,,2007,,
1348,1,4,1,1,7,17XGA04,2,1.3,0.009,1.2,0.5,,,,,2007,,
1349,5,13,5,24,7,17XGA04,1,0.9,0.004,0.9,,,,,,2007,,
1350,5,14,5,24,7,17XGA04,3,1.5,0.012,1.1,0.8,0.6,,,,2007,,
1351,5,15,5,24,7,17XGA04,2,2.1,0.025,1.9,1.0,,,,,2007,,
1352,5,16,5,24,7,17XGA04,2,2.4,0.032,2.1,1.2,,,,,2007,,
1353,7,9,3,33,7,17XGA04,2,1.3,0.010,1.0,0.9,,,,,2007,,
1354,7,10,3,33,7,17XGA04,1,0.7,0.003,0.7,,,,,,2007,,
1355,7,11,3,33,7,17XGA04,2,1.1,0.006,0.8,0.7,,,,,2007,,
1356,7,12,3,33,7,17XGA04,1,0.2,0.000,0.2,,,,,,2007,,
1357,10,5,2,49,7,17XGA04,3,2.0,0.023,1.3,1.2,1.0,,,,2007,,
1358,10,6,2,49,7,17XGA04,3,1.6,0.013,1.2,0.7,0.7,,,,2007,,
1359,10,7,2,49,7,17XGA04,2,1.6,0.015,1.3,1.0,,,,,2007,,
1360,10,8,2,49,7,17XGA04,2,1.5,0.013,1.3,0.8,,,,,2007,,
1361,2,9,4,8,7,18XAG04,3,1.6,0.014,1.4,0.6,0.5,,,,2007,,
1362,2,10,4,8,7,18XAG04,1,1.9,0.020,1.9,,,,,,2007,,
1363,2,11,4,8,7,18XAG04,2,2.8,0.042,2.2,1.7,,,,,2007,,
1364,2,12,4,8,7,18XAG04,2,3.0,0.049,2.3,1.9,,,,,2007,,
1365,4,5,1,19,7,18XAG04,2,2.5,0.035,1.8,1.8,,,,,2007,,
1366,4,6,1,19,7,18XAG04,1,1.5,0.012,1.5,,,,,,2007,,
1367,4,7,1,19,7,18XAG04,2,1.9,0.020,1.4,1.3,,,,,2007,,
1368,4,8,1,19,7,18XAG04,3,2.6,0.038,2.4,0.9,0.6,,,,2007,,
1369,6,9,3,28,7,18XAG04,2,0.5,0.001,0.4,0.3,,,,,2007,,
1370,6,10,3,28,7,18XAG04,2,2.1,0.023,1.5,1.4,,,,,2007,,
1371,6,11,3,28,7,18XAG04,5,0.9,0.005,0.6,0.5,0.3,0.3,0.3,,2007,,
1372,6,12,3,28,7,18XAG04,1,1.2,0.008,1.2,,,,,,2007,,
1373,8,5,2,39,7,18XAG04,1,1.6,0.014,1.6,,,,,,2007,,
1374,8,6,2,39,7,18XAG04,1,0.8,0.003,0.8,,,,,,2007,,
1375,8,7,2,39,7,18XAG04,3,1.0,0.006,0.8,0.6,0.2,,,,2007,,
1376,8,8,2,39,7,18XAG04,3,2.0,0.022,1.7,0.9,0.6,,,,2007,,
1377,3,5,1,12,7,1XTE04,3,1.9,0.020,1.7,0.7,0.6,,,,2007,,
1378,3,6,1,12,7,1XTE04,1,1.1,0.007,1.1,,,,,,2007,,
1379,3,7,1,12,7,1XTE04,2,1.2,0.007,1.0,0.6,,,,,2007,,
1380,3,8,1,12,7,1XTE04,2,1.3,0.010,1.2,0.6,,,,,2007,,
1381,6,13,3,27,7,1XTE04,1,0.2,0.000,0.2,,,,,,2007,,
1382,6,14,3,27,7,1XTE04,1,0.4,0.001,0.4,,,,,,2007,,
1383,6,15,3,27,7,1XTE04,NA,0.0,0.000,,,,,,,2007,,
1384,6,16,3,27,7,1XTE04,1,1.1,0.007,1.1,,,,,,2007,,
1385,8,1,2,40,7,1XTE04,1,0.5,0.001,0.5,,,,,,2007,,
1386,8,2,2,40,7,1XTE04,NA,0.0,0.000,,,,,,,2007,,
1387,8,3,2,40,7,1XTE04,1,0.3,0.000,0.3,,,,,,2007,,
1388,8,4,2,40,7,1XTE04,1,0.8,0.003,0.8,,,,,,2007,,
1389,1,9,4,3,7,2XT4E04,NA,0.0,0.000,,,,,,,2007,,
1390,1,10,4,3,7,2XT4E04,NA,0.0,0.000,,,,,,,2007,,
1391,1,11,4,3,7,2XT4E04,NA,0.0,0.000,,,,,,,2007,,
1392,1,12,4,3,7,2XT4E04,NA,0.0,0.000,,,,,,,2007,,
1393,5,5,1,22,7,2XT4E04,1,0.5,0.001,0.5,,,,,,2007,,
1394,5,6,1,22,7,2XT4E04,NA,0.0,0.000,,,,,,,2007,,
1395,5,7,1,22,7,2XT4E04,NA,0.0,0.000,,,,,,,2007,,
1396,5,8,1,22,7,2XT4E04,2,0.4,0.001,0.3,0.2,,,,,2007,,
1397,7,5,2,32,7,2XT4E04,2,0.1,0.000,0.1,0.1,,,,,2007,,
1398,7,6,2,32,7,2XT4E04,NA,0.0,0.000,,,,,,,2007,,
1399,7,7,2,32,7,2XT4E04,1,1.0,0.005,1.0,,,,,,2007,,
1400,7,8,2,32,7,2XT4E04,3,0.8,0.003,0.6,0.4,0.3,,,,2007,,
1401,10,9,3,48,7,2XT4E04,2,0.9,0.004,0.7,0.5,,,,,2007,,
1402,10,10,3,48,7,2XT4E04,NA,0.0,0.000,,,,,,,2007,,
1403,10,11,3,48,7,2XT4E04,4,0.7,0.003,0.5,0.4,0.2,0.2,,,2007,,
1404,10,12,3,48,7,2XT4E04,NA,0.0,0.000,,,,,,,2007,,
1405,2,1,1,10,7,80XAA04,1,3.2,0.056,3.2,,,,,,2007,,
1406,2,2,1,10,7,80XAA04,1,1.8,0.018,1.8,,,,,,2007,,
1407,2,3,1,10,7,80XAA04,1,1.9,0.020,1.9,,,,,,2007,,
1408,2,4,1,10,7,80XAA04,1,1.2,0.008,1.2,,,,,,2007,,
1409,2,17,5,6,7,80XAA04,3,2.3,0.030,1.9,1.2,0.6,,,,2007,,
1410,2,18,5,6,7,80XAA04,2,2.4,0.031,2.3,0.6,,,,,2007,,
1411,2,19,5,6,7,80XAA04,5,3.9,0.082,2.4,2.1,1.5,1.3,1.0,,2007,,
1412,2,20,5,6,7,80XAA04,4,2.4,0.031,2.2,0.7,0.5,0.3,,,2007,,
1413,3,9,4,13,7,80XAA04,4,2.9,0.046,2.7,0.8,0.7,0.2,,,2007,,
1414,3,10,4,13,7,80XAA04,1,1.9,0.020,1.9,,,,,,2007,,
1415,3,11,4,13,7,80XAA04,2,1.6,0.014,1.2,1.1,,,,,2007,,
1416,3,12,4,13,7,80XAA04,2,3.1,0.054,3.0,0.9,,,,,2007,,
1417,9,5,2,42,7,80XAA04,2,3.3,0.059,3.2,0.7,,,,,2007,,
1418,9,6,2,42,7,80XAA04,1,3.2,0.056,3.2,,,,,,2007,,
1419,9,7,2,42,7,80XAA04,2,2.9,0.047,2.8,0.9,,,,,2007,,
1420,9,8,2,42,7,80XAA04,2,3.5,0.068,2.6,2.4,,,,,2007,,
1421,9,13,3,44,7,80XAA04,2,1.8,0.019,1.4,1.2,,,,,2007,,
1422,9,14,3,44,7,80XAA04,1,2.1,0.024,2.1,,,,,,2007,,
1423,9,15,3,44,7,80XAA04,3,1.8,0.018,1.3,1.0,0.8,,,,2007,,
1424,9,16,3,44,7,80XAA04,1,11.0,0.660,11.0,,,,,,2007,,
1425,10,17,6,46,7,80XAA04,2,2.4,0.032,2.3,0.7,,,,,2007,,
1426,10,18,6,46,7,80XAA04,1,0.7,0.003,0.7,,,,,,2007,,
1427,10,19,6,46,7,80XAA04,6,1.9,0.019,1.2,0.7,0.7,0.7,0.6,0.5,2007,,
1428,10,20,6,46,7,80XAA04,2,1.1,0.007,0.9,0.7,,,,,2007,,
1429,1,17,5,5,7,81XAA04,2,2.5,0.033,2.2,1.1,,,,,2007,,
1430,1,18,5,5,7,81XAA04,2,3.3,0.061,2.6,2.1,,,,,2007,,
1431,1,19,5,5,7,81XAA04,3,2.9,0.045,2.4,1.3,0.9,,,,2007,,
1432,1,20,5,5,7,81XAA04,1,1.8,0.018,1.8,,,,,,2007,,
1433,2,13,4,7,7,81XAA04,NA,0.0,0.000,,,,,,,2007,,
1434,2,14,4,7,7,81XAA04,1,1.5,0.012,1.5,,,,,,2007,,
1435,2,15,4,7,7,81XAA04,1,1.0,0.005,1.0,,,,,,2007,,
1436,2,16,4,7,7,81XAA04,NA,0.0,0.000,,,,,,,2007,,
1437,5,1,1,21,7,81XAA04,2,1.5,0.013,1.4,0.6,,,,,2007,,
1438,5,2,1,21,7,81XAA04,1,2.8,0.043,2.8,,,,,,2007,,
1439,5,3,1,21,7,81XAA04,1,1.6,0.014,1.6,,,,,,2007,,
1440,5,4,1,21,7,81XAA04,2,4.2,0.096,3.2,2.7,,,,,2007,,
1441,6,1,2,30,7,81XAA04,2,3.1,0.054,3.0,0.9,,,,,2007,,
1442,6,2,2,30,7,81XAA04,1,2.5,0.034,2.5,,,,,,2007,,
1443,6,3,2,30,7,81XAA04,1,3.1,0.052,3.1,,,,,,2007,,
1444,6,4,2,30,7,81XAA04,1,0.8,0.003,0.8,,,,,,2007,,
1445,7,17,6,35,7,81XAA04,1,0.4,0.001,0.4,,,,,,2007,,
1446,7,18,6,35,7,81XAA04,2,1.7,0.017,1.6,0.7,,,,,2007,,
1447,7,19,6,35,7,81XAA04,2,1.7,0.015,1.4,0.9,,,,,2007,,
1448,7,20,6,35,7,81XAA04,2,2.7,0.040,2.6,0.8,,,,,2007,,
1449,8,13,3,37,7,81XAA04,2,2.3,0.030,2.1,1.0,,,,,2007,,
1450,8,14,3,37,7,81XAA04,1,1.8,0.018,1.8,,,,,,2007,,
1451,8,15,3,37,7,81XAA04,NA,0.0,0.000,,,,,,,2007,,
1452,8,16,3,37,7,81XAA04,2,2.3,0.028,2.2,0.6,,,,,2007,,
1453,1,5,1,2,7,82XAA04,1,1.6,0.014,1.6,,,,,,2007,,
1454,1,6,1,2,7,82XAA04,1,1.0,0.005,1.0,,,,,,2007,,
1455,1,7,1,2,7,82XAA04,3,2.4,0.031,1.6,1.3,1.2,,,,2007,,
1456,1,8,1,2,7,82XAA04,1,0.9,0.004,0.9,,,,,,2007,,
1457,3,13,4,14,7,82XAA04,3,2.6,0.036,2.2,1.0,0.9,,,,2007,,
1458,3,14,4,14,7,82XAA04,2,2.6,0.038,2.5,0.8,,,,,2007,,
1459,3,15,4,14,7,82XAA04,2,2.0,0.021,1.5,1.3,,,,,2007,,
1460,3,16,4,14,7,82XAA04,2,2.0,0.022,1.9,0.7,,,,,2007,,
1461,4,17,5,16,7,82XAA04,2,1.3,0.010,1.2,0.6,,,,,2007,,
1462,4,18,5,16,7,82XAA04,3,2.2,0.025,1.6,1.2,0.8,,,,2007,,
1463,4,19,5,16,7,82XAA04,2,2.0,0.022,1.6,1.2,,,,,2007,,
1464,4,20,5,16,7,82XAA04,3,3.8,0.079,3.0,1.8,1.5,,,,2007,,
1465,6,5,2,29,7,82XAA04,3,2.2,0.026,1.9,0.8,0.7,,,,2007,,
1466,6,6,2,29,7,82XAA04,2,2.5,0.034,2.3,1.0,,,,,2007,,
1467,6,7,2,29,7,82XAA04,3,1.9,0.019,1.6,0.8,0.6,,,,2007,,
1468,6,8,2,29,7,82XAA04,5,1.3,0.009,0.8,0.8,0.4,0.3,0.3,,2007,,
1469,6,17,6,26,7,82XAA04,2,1.9,0.020,1.7,0.9,,,,,2007,,
1470,6,18,6,26,7,82XAA04,2,2.1,0.025,1.6,1.4,,,,,2007,,
1471,6,19,6,26,7,82XAA04,1,1.8,0.018,1.8,,,,,,2007,,
1472,6,20,6,26,7,82XAA04,2,2.7,0.039,2.2,1.5,,,,,2007,,
1473,8,9,3,38,7,82XAA04,3,2.4,0.032,1.9,1.1,1.0,,,,2007,,
1474,8,10,3,38,7,82XAA04,2,2.4,0.031,2.2,0.9,,,,,2007,,
1475,8,11,3,38,7,82XAA04,2,2.4,0.032,1.8,1.6,,,,,2007,,
1476,8,12,3,38,7,82XAA04,1,1.9,0.020,1.9,,,,,,2007,,
1477,1,13,4,4,7,83XAA04,6,3.0,0.049,2.4,1.1,0.9,0.8,0.5,0.5,2007,,
1478,1,14,4,4,7,83XAA04,3,2.9,0.045,2.3,1.5,0.8,,,,2007,,
1479,1,15,4,4,7,83XAA04,3,3.1,0.054,2.0,1.9,1.5,,,,2007,,
1480,1,16,4,4,7,83XAA04,2,2.2,0.028,2.1,0.8,,,,,2007,,
1481,3,1,1,11,7,83XAA04,4,2.8,0.043,2.6,0.9,0.5,0.3,,,2007,,
1482,3,2,1,11,7,83XAA04,4,3.0,0.048,2.3,1.7,0.7,0.3,,,2007,,
1483,3,3,1,11,7,83XAA04,2,2.5,0.034,1.9,1.6,,,,,2007,,
1484,3,4,1,11,7,83XAA04,3,2.8,0.044,2.2,1.6,0.8,,,,2007,,
1485,3,17,5,15,7,83XAA04,1,#VALUE!,#VALUE!,.1.1,1.0,,,,,2007,,
1486,3,18,5,15,7,83XAA04,1,2.9,0.046,2.9,,,,,,2007,,
1487,3,19,5,15,7,83XAA04,1,1.7,0.016,1.7,,,,,,2007,,
1488,3,20,5,15,7,83XAA04,2,2.7,0.039,2.2,1.5,,,,,2007,,
1489,7,1,2,31,7,83XAA04,2,2.7,0.040,2.6,0.7,,,,,2007,,
1490,7,2,2,31,7,83XAA04,2,3.1,0.052,3.0,0.7,,,,,2007,,
1491,7,3,2,31,7,83XAA04,1,2.0,0.022,2.0,,,,,,2007,,
1492,7,4,2,31,7,83XAA04,1,2.7,0.040,2.7,,,,,,2007,,
1493,7,13,3,34,7,83XAA04,2,3.1,0.052,2.8,1.3,,,,,2007,,
1494,7,14,3,34,7,83XAA04,2,2.6,0.037,2.3,1.2,,,,,2007,,
1495,7,15,3,34,7,83XAA04,3,3.1,0.053,2.9,0.9,0.7,,,,2007,,
1496,7,16,3,34,7,83XAA04,3,3.1,0.051,2.1,2.1,0.7,,,,2007,,
1497,9,17,6,45,7,83XAA04,4,2.9,0.047,2.3,1.5,0.8,0.7,,,2007,,
1498,9,18,6,45,7,83XAA04,5,2.1,0.024,1.3,1.0,0.9,0.7,0.6,,2007,,
1499,9,19,6,45,7,83XAA04,2,2.9,0.047,2.4,1.7,,,,,2007,,
1500,9,20,6,45,7,83XAA04,5,3.3,0.060,1.9,1.7,1.4,1.4,0.7,,2007,,
1501,2,5,1,9,7,84XAA04,5,2.4,0.031,1.5,1.3,1.2,0.5,0.3,,2007,,
1502,2,6,1,9,7,84XAA04,2,2.7,0.039,2.6,0.6,,,,,2007,,
1503,2,7,1,9,7,84XAA04,3,2.8,0.044,2.1,1.4,1.3,,,,2007,,
1504,2,8,1,9,7,84XAA04,2,1.2,0.008,0.9,0.8,,,,,2007,,
1505,4,13,5,17,7,84XAA04,2,2.3,0.028,1.7,1.5,,,,,2007,,
1506,4,14,5,17,7,84XAA04,1,0.2,0.000,0.2,,,,,,2007,,
1507,4,15,5,17,7,84XAA04,1,2.1,0.024,2.1,,,,,,2007,,
1508,4,16,5,17,7,84XAA04,3,2.7,0.039,2.0,1.4,1.1,,,,2007,,
1509,5,9,4,23,7,84XAA04,1,1.3,0.009,1.3,,,,,,2007,,
1510,5,10,4,23,7,84XAA04,2,1.8,0.018,1.5,1.0,,,,,2007,,
1511,5,11,4,23,7,84XAA04,2,2.5,0.035,1.8,1.8,,,,,2007,,
1512,5,12,4,23,7,84XAA04,1,2.9,0.046,2.9,,,,,,2007,,
1513,8,17,6,36,7,84XAA04,2,2.2,0.026,2.1,0.6,,,,,2007,,
1514,8,18,6,36,7,84XAA04,1,2.2,0.026,2.2,,,,,,2007,,
1515,8,19,6,36,7,84XAA04,3,1.6,0.015,1.1,0.9,0.8,,,,2007,,
1516,8,20,6,36,7,84XAA04,1,1.6,0.014,1.6,,,,,,2007,,
1517,9,9,3,43,7,84XAA04,3,2.0,0.021,1.8,0.6,0.5,,,,2007,,
1518,9,10,3,43,7,84XAA04,3,2.4,0.031,2.2,0.8,0.4,,,,2007,,
1519,9,11,3,43,7,84XAA04,2,1.4,0.011,1.0,1.0,,,,,2007,,
1520,9,12,3,43,7,84XAA04,1,0.6,0.002,0.6,,,,,,2007,,
1521,10,1,2,50,7,84XAA04,2,2.2,0.025,2.1,0.5,,,,,2007,,
1522,10,2,2,50,7,84XAA04,1,0.8,0.003,0.8,,,,,,2007,,
1523,10,3,2,50,7,84XAA04,1,2.5,0.034,2.5,,,,,,2007,,
1524,10,4,2,50,7,84XAA04,3,2.3,0.030,1.7,1.5,0.6,,,,2007,,
1525,4,1,1,20,7,85XAA04,NA,0.0,0.000,,,,,,,2007,,
1526,4,2,1,20,7,85XAA04,1,1.6,0.014,1.6,,,,,,2007,,
1527,4,3,1,20,7,85XAA04,1,0.3,0.000,0.3,,,,,,2007,,
1528,4,4,1,20,7,85XAA04,1,0.1,0.000,0.1,,,,,,2007,,
1529,4,9,4,18,7,85XAA04,1,0.7,0.003,0.7,,,,,,2007,,
1530,4,10,4,18,7,85XAA04,2,0.9,0.004,0.8,0.4,,,,,2007,,
1531,4,11,4,18,7,85XAA04,1,3.0,0.049,3.0,,,,,,2007,,
1532,4,12,4,18,7,85XAA04,1,0.3,0.000,0.3,,,,,,2007,,
1533,5,17,5,25,7,85XAA04,1,0.5,0.001,0.5,,,,,,2007,,
1534,5,18,5,25,7,85XAA04,1,1.4,0.011,1.4,,,,,,2007,,
1535,5,19,5,25,7,85XAA04,1,0.7,0.003,0.7,,,,,,2007,,
1536,5,20,5,25,7,85XAA04,1,0.3,0.000,0.3,,,,,,2007,,
1537,9,1,2,41,7,85XAA04,1,0.5,0.001,0.5,,,,,,2007,,
1538,9,2,2,41,7,85XAA04,1,0.9,0.004,0.9,,,,,,2007,,
1539,9,3,2,41,7,85XAA04,1,0.1,0.000,0.1,,,,,,2007,,
1540,9,4,2,41,7,85XAA04,1,0.8,0.003,0.8,,,,,,2007,,
1541,10,13,3,47,7,85XAA04,1,0.6,0.002,0.6,,,,,,2007,,
1542,10,14,3,47,7,85XAA04,NA,0.0,0.000,,,,,,,2007,,
1543,10,15,3,47,7,85XAA04,1,0.2,0.000,0.2,,,,,,2007,,
1544,10,16,3,47,7,85XAA04,1,0.7,0.003,0.7,,,,,,2007,,
1545,11,1,1,51,7,NM6,2,1.5,0.012,1.3,0.7,,,,,2007,,
1546,11,2,1,51,7,NM6,1,2.3,0.029,2.3,,,,,,2007,,
1547,11,3,1,51,7,NM6,1,2.5,0.034,2.5,,,,,,2007,,
1548,11,4,1,51,7,NM6,1,1.6,0.014,1.6,,,,,,2007,,
1549,11,5,2,52,7,NM6,1,2.0,0.022,2.0,,,,,,2007,,
1550,11,6,2,52,7,NM6,1,2.0,0.022,2.0,,,,,,2007,,
1551,11,7,2,52,7,NM6,1,2.2,0.026,2.2,,,,,,2007,,
1552,11,8,2,52,7,NM6,2,3.4,0.063,3.0,1.6,,,,,2007,,
1553,11,9,3,53,7,NM6,NA,0.0,0.000,,,,,,,2007,,
1554,11,10,3,53,7,NM6,2,2.1,0.023,1.5,1.4,,,,,2007,,
1555,11,11,3,53,7,NM6,1,2.3,0.029,2.3,,,,,,2007,,
1556,11,12,3,53,7,NM6,1,2.4,0.031,2.4,,,,,,2007,,
1557,11,13,4,54,7,NM6,2,0.7,0.003,0.7,0.2,,,,,2007,,
1558,11,14,4,54,7,NM6,3,0.4,0.001,0.3,0.2,0.1,,,,2007,,
1559,11,15,4,54,7,NM6,3,1.2,0.008,1.0,0.5,0.4,,,,2007,,
1560,11,16,4,54,7,NM6,1,1.3,0.009,1.3,,,,,,2007,,
1561,11,17,5,55,7,NM6,1,2.4,0.031,2.4,,,,,,2007,,
1562,11,18,5,55,7,NM6,1,1.5,0.012,1.5,,,,,,2007,,
1563,11,19,5,55,7,NM6,1,1.4,0.011,1.4,,,,,,2007,,
1564,11,20,5,55,7,NM6,1,1.0,0.005,1.0,,,,,,2007,,
1565,12,17,6,56,7,NM6,3,0.9,0.005,0.7,0.5,0.4,,,,2007,,
1566,12,18,6,56,7,NM6,5,1.9,0.019,1.5,0.8,0.5,0.5,0.3,,2007,,
1567,12,19,6,56,7,NM6,1,2.3,0.029,2.3,,,,,,2007,,
1568,12,20,6,56,7,NM6,2,1.5,0.013,1.3,0.8,,,,,2007,,
